Material	U	c1	c2	J2
LiCoO2	0.306122449	1.0	0.0	26.34233022
LiCoO2	0.408163265	1.0	0.0	25.62393441
LiCoO2	0.510204082	1.0	0.0	24.96304343
LiCoO2	0.612244898	1.0	0.0	24.35450048
LiCoO2	0.714285714	1.0	0.0	23.78705515
LiCoO2	0.816326531	1.0	0.0	23.24836642
LiCoO2	0.918367347	1.0	0.0	22.72767318
LiCoO2	1.020408163	1.0	0.0	22.21678541
LiCoO2	1.12244898	1.0	0.0	21.71002606
LiCoO2	1.224489796	1.0	0.0	21.20368216
LiCoO2	1.326530612	1.0	0.0	20.6953544
LiCoO2	1.428571429	1.0	0.0	20.18341304
LiCoO2	1.530612245	1.0	0.0	19.66663101
LiCoO2	1.632653061	1.0	0.0	19.14398431
LiCoO2	1.734693878	1.0	0.0	18.61457429
LiCoO2	1.836734694	1.0	0.0	18.07762048
LiCoO2	1.93877551	1.0	0.0	17.53248094
LiCoO2	2.040816327	1.0	0.0	16.9786727
LiCoO2	2.142857143	1.0	0.0	16.4158798
LiCoO2	2.244897959	1.0	0.0	15.84395008
LiCoO2	2.346938776	1.0	0.0	15.26289027
LiCoO2	2.448979592	1.0	0.0	14.67287294
LiCoO2	2.551020408	1.0	0.0	14.07426677
LiCoO2	2.653061224	1.0	0.0	13.46769519
LiCoO2	2.755102041	1.0	0.0	12.85411805
LiCoO2	2.857142857	1.0	0.0	12.23492032
LiCoO2	2.959183673	1.0	0.0	11.61198352
LiCoO2	3.06122449	1.0	0.0	10.98771355
LiCoO2	3.163265306	1.0	0.0	10.36500498
LiCoO2	3.265306122	1.0	0.0	9.747137062
LiCoO2	3.367346939	1.0	0.0	9.137617874
LiCoO2	3.469387755	1.0	0.0	8.540015479
LiCoO2	3.571428571	1.0	0.0	7.957833069
LiCoO2	3.673469388	1.0	0.0	7.394494172
LiCoO2	3.775510204	1.0	0.0	6.853502255
LiCoO2	3.87755102	1.0	0.0	6.338826119
LiCoO2	3.979591837	1.0	0.0	5.85553654
LiCoO2	4.081632653	1.0	0.0	5.410670321
LiCoO2	4.183673469	1.0	0.0	5.014195567
LiCoO2	4.285714286	1.0	0.0	4.679746661
LiCoO2	4.387755102	1.0	0.0	4.424467034
LiCoO2	4.489795918	1.0	0.0	4.267028412
LiCoO2	4.591836735	1.0	0.0	4.223310739
LiCoO2	4.693877551	1.0	0.0	4.300945911
LiCoO2	4.795918367	1.0	0.0	4.495866121
LiCoO2	4.897959184	1.0	0.0	4.793315525
LiCoO2	5.0	1.0	0.0	5.172396039
LiFePO4	0.0	0.836734694	-0.183673469	14.38537662
LiFePO4	0.102040816	0.5	0.0	11.72766739
LiFePO4	0.204081633	0.5	-0.195918367	13.59090528
LiFePO4	0.306122449	0.5	-0.342857143	11.14681367
LiFePO4	0.408163265	0.5	-0.6	11.89066907
LiFePO4	0.510204082	0.591836735	-0.6	13.91206529
LiFePO4	0.612244898	0.5	-0.416326531	13.46953292
LiFePO4	0.714285714	0.755102041	-0.6	12.42896065
LiFePO4	0.816326531	0.806122449	-0.6	12.7506591
LiFePO4	0.918367347	0.846938776	-0.6	14.46618753
LiFePO4	1.020408163	0.87755102	-0.6	16.5682821
LiFePO4	1.12244898	0.908163265	-0.6	18.12066011
LiFePO4	1.224489796	0.928571429	-0.6	18.8668463
LiFePO4	1.326530612	0.948979592	-0.6	19.05439482
LiFePO4	1.428571429	0.959183673	-0.6	19.056862
LiFePO4	1.530612245	0.979591837	-0.6	19.15208353
LiFePO4	1.632653061	0.989795918	-0.6	19.47078636
LiFePO4	1.734693878	1.0	-0.6	20.02748613
LiFePO4	1.836734694	1.0	-0.6	20.77201969
LiFePO4	1.93877551	1.0	-0.6	21.62904233
LiFePO4	2.040816327	1.0	-0.6	22.52425865
LiFePO4	2.142857143	1.0	-0.6	23.39748563
LiFePO4	2.244897959	1.0	-0.6	24.20635952
LiFePO4	2.346938776	1.0	-0.6	24.92493843
LiFePO4	2.448979592	1.0	-0.6	25.54017836
LiFePO4	2.551020408	1.0	-0.6	26.0480909
LiFePO4	2.653061224	1.0	-0.6	26.45045339
LiFePO4	2.755102041	1.0	-0.6	26.75234863
LiFePO4	2.857142857	1.0	-0.6	26.96050483
LiFePO4	2.959183673	1.0	-0.6	27.08228441
LiFePO4	3.06122449	1.0	-0.6	27.12514751
LiFePO4	3.163265306	1.0	-0.6	27.09643614
LiFePO4	3.265306122	1.0	-0.6	27.00335727
LiFePO4	3.367346939	1.0	-0.6	26.85307352
LiFePO4	3.469387755	1.0	-0.6	26.65283466
LiFePO4	3.571428571	1.0	-0.587755102	26.40602225
LiFePO4	3.673469388	1.0	-0.587755102	26.12224098
LiFePO4	3.775510204	1.0	-0.575510204	25.80727104
LiFePO4	3.87755102	1.0	-0.575510204	25.47069192
LiFePO4	3.979591837	1.0	-0.563265306	25.12034639
LiFePO4	4.081632653	1.0	-0.563265306	24.76303135
LiFePO4	4.183673469	1.0	-0.563265306	24.41044364
LiFePO4	4.285714286	1.0	-0.551020408	24.06361501
LiFePO4	4.387755102	1.0	-0.551020408	23.73534618
LiFePO4	4.489795918	1.0	-0.53877551	23.43052365
LiFePO4	4.591836735	1.0	-0.53877551	23.1503901
LiFePO4	4.693877551	1.0	-0.53877551	22.90449994
LiFePO4	4.795918367	1.0	-0.526530612	22.69622019
LiFePO4	4.897959184	1.0	-0.526530612	22.52200332
LiFePO4	5.0	1.0	-0.526530612	22.39061561
MoO3	0.0	1.0	-0.195918367	6.530080734
MoO3	0.102040816	0.5	-0.306122449	3.752388228
MoO3	0.204081633	0.5	-0.6	3.605872367
MoO3	0.306122449	0.5	0.0	4.515484207
MoO3	0.408163265	0.5	-0.208163265	6.396815471
MoO3	0.510204082	0.5	-0.367346939	6.211331911
MoO3	0.612244898	0.581632653	-0.53877551	6.183805654
MoO3	0.714285714	0.744897959	-0.6	6.629883503
MoO3	0.816326531	0.5	0.0	7.346784603
MoO3	0.918367347	0.5	0.0	8.839536208
MoO3	1.020408163	0.5	0.0	10.83479873
MoO3	1.12244898	0.5	0.0	12.82260387
MoO3	1.224489796	0.5	0.0	14.48623023
MoO3	1.326530612	0.5	0.0	15.72339485
MoO3	1.428571429	0.5	0.0	16.57391454
MoO3	1.530612245	0.989795918	-0.6	16.9334418
MoO3	1.632653061	1.0	-0.6	17.21139242
MoO3	1.734693878	1.0	-0.6	17.55876365
MoO3	1.836734694	1.0	-0.6	18.01161654
MoO3	1.93877551	1.0	-0.6	18.57888841
MoO3	2.040816327	0.5	0.0	19.04261131
MoO3	2.142857143	0.5	0.0	19.56939193
MoO3	2.244897959	0.5	0.0	20.16742216
MoO3	2.346938776	0.5	0.0	20.8261551
MoO3	2.448979592	0.5	0.0	21.5321141
MoO3	2.551020408	0.5	0.0	22.27109145
MoO3	2.653061224	0.5	0.0	23.02953949
MoO3	2.755102041	0.5	0.0	23.79537203
MoO3	2.857142857	0.5	0.0	24.55835407
MoO3	2.959183673	0.5	0.0	25.31021595
MoO3	3.06122449	0.5	0.0	26.04459163
MoO3	3.163265306	0.5	0.0	26.75685309
MoO3	3.265306122	0.5	0.0	27.44389125
MoO3	3.367346939	0.5	0.0	28.10387797
MoO3	3.469387755	0.5	0.0	28.73603203
MoO3	3.571428571	0.5	0.0	29.34040288
MoO3	3.673469388	0.5	0.0	29.91767942
MoO3	3.775510204	0.5	0.0	30.46902619
MoO3	3.87755102	0.5	0.0	30.99594606
MoO3	3.979591837	0.5	0.0	31.50016607
MoO3	4.081632653	0.5	0.0	31.98354202
MoO3	4.183673469	0.5	0.0	32.4479768
MoO3	4.285714286	0.5	0.0	32.89534802
MoO3	4.387755102	0.510204082	0.0	33.37941779
MoO3	4.489795918	0.510204082	0.0	33.79890302
MoO3	4.591836735	0.520408163	0.0	34.26214372
MoO3	4.693877551	0.530612245	0.0	34.71843648
MoO3	4.795918367	0.530612245	0.0	35.10658356
MoO3	4.897959184	0.540816327	0.0	35.54825794
MoO3	5.0	0.551020408	0.0	35.98461575
Rutile	0.0	0.5	-0.416326531	5.54820853
Rutile	0.102040816	0.5	-0.428571429	4.22710409
Rutile	0.204081633	0.5	-0.489795918	3.946478642
Rutile	0.306122449	0.5	-0.489795918	3.738255022
Rutile	0.408163265	0.5	-0.489795918	3.586760933
Rutile	0.510204082	0.5	-0.526530612	3.236808033
Rutile	0.612244898	0.5	-0.526530612	2.875302251
Rutile	0.714285714	0.5	-0.551020408	2.298263282
Rutile	0.816326531	0.5	-0.526530612	2.46047916
Rutile	0.918367347	0.5	-0.526530612	2.385687167
Rutile	1.020408163	0.5	-0.526530612	2.38501039
Rutile	1.12244898	0.540816327	-0.551020408	1.962845821
Rutile	1.224489796	0.56122449	-0.526530612	2.554885982
Rutile	1.326530612	0.602040816	-0.526530612	2.665870633
Rutile	1.428571429	0.602040816	-0.502040816	2.703331554
Rutile	1.530612245	0.632653061	-0.502040816	2.632343711
Rutile	1.632653061	0.663265306	-0.502040816	2.550125796
Rutile	1.734693878	0.693877551	-0.502040816	2.471067746
Rutile	1.836734694	0.714285714	-0.502040816	2.405298108
Rutile	1.93877551	0.714285714	-0.489795918	2.241825301
Rutile	2.040816327	0.734693878	-0.489795918	2.022019199
Rutile	2.142857143	0.744897959	-0.489795918	1.83227797
Rutile	2.244897959	0.765306122	-0.489795918	1.67786863
Rutile	2.346938776	0.775510204	-0.489795918	1.568681393
Rutile	2.448979592	0.795918367	-0.489795918	1.502011525
Rutile	2.551020408	0.806122449	-0.489795918	1.47103237
Rutile	2.653061224	0.816326531	-0.489795918	1.466763524
Rutile	2.755102041	0.826530612	-0.489795918	1.477203818
Rutile	2.857142857	0.836734694	-0.489795918	1.494020811
Rutile	2.959183673	0.846938776	-0.489795918	1.515417374
Rutile	3.06122449	0.857142857	-0.489795918	1.54661918
Rutile	3.163265306	0.857142857	-0.489795918	1.595249161
Rutile	3.265306122	0.867346939	-0.489795918	1.669273448
Rutile	3.367346939	0.908163265	-0.514285714	1.653402852
Rutile	3.469387755	0.918367347	-0.514285714	1.59078452
Rutile	3.571428571	0.928571429	-0.514285714	1.56952206
Rutile	3.673469388	0.928571429	-0.514285714	1.575392279
Rutile	3.775510204	0.93877551	-0.514285714	1.595508612
Rutile	3.87755102	0.93877551	-0.514285714	1.627709021
Rutile	3.979591837	0.948979592	-0.514285714	1.650264582
Rutile	4.081632653	0.959183673	-0.514285714	1.679984001
Rutile	4.183673469	0.959183673	-0.514285714	1.701324483
Rutile	4.285714286	0.969387755	-0.514285714	1.738088333
Rutile	4.387755102	0.969387755	-0.514285714	1.777066565
Rutile	4.489795918	0.969387755	-0.514285714	1.844696619
Rutile	4.591836735	0.979591837	-0.514285714	1.926979278
Rutile	4.693877551	0.979591837	-0.514285714	2.040588615
Rutile	4.795918367	0.969387755	-0.502040816	2.11786942
Rutile	4.897959184	0.969387755	-0.502040816	2.2199075
Rutile	5.0	0.979591837	-0.502040816	2.337969112
WO3	0.0	1.0	0.0	3.928715372
WO3	0.102040816	0.5	0.0	3.637690999
WO3	0.204081633	0.5	0.0	3.910151889
